id,start_x,start_y,end_x,end_y,towards_light
23,262,326,289,329,True
26,458,287,413,275,True
29,370,252,342,231,True
1,262,194,322,177,True
2,3,67,3,40,True
4,634,159,621,137,True
5,582,4,561,27,True
6,629,168,563,134,True
7,57,432,84,415,True
8,35,341,25,299,True
12,291,445,316,415,True
13,181,424,157,361,True
16,23,420,22,434,False
17,268,406,261,369,True
19,401,394,438,392,False
20,560,364,541,343,True
23,262,326,289,329,True
26,458,287,413,275,True
29,370,252,342,231,True
1,262,194,322,177,True
2,3,67,3,40,True
4,634,159,621,137,True
5,582,4,561,27,True
6,629,168,563,134,True
7,57,432,84,415,True
8,35,341,25,299,True
12,291,445,316,415,True
13,181,424,157,361,True
16,23,420,22,434,False
17,268,406,261,369,True
19,401,394,438,392,False
20,560,364,541,343,True
23,262,326,289,329,True
26,458,287,413,275,True
29,370,252,342,231,True
1,262,194,322,177,True
2,3,67,3,40,True
4,634,159,621,137,True
5,582,4,568,38,True
6,629,168,563,134,True
7,57,432,84,415,True
8,35,341,25,299,True
9,513,472,510,446,True
12,291,445,282,420,True
13,181,424,164,340,True
16,23,420,22,434,False
17,268,406,261,369,True
19,401,394,453,393,False
20,560,364,576,342,True
23,262,326,306,298,True
26,458,287,436,305,False
29,370,252,342,231,True
1,262,194,324,144,True
2,3,67,3,40,True
3,2,118,28,106,True
4,634,159,621,137,True
5,582,4,568,38,True
6,629,168,537,139,True
7,57,432,127,393,True
8,35,341,25,299,True
9,513,472,510,446,True
12,291,445,286,392,True
13,181,424,163,339,True
16,23,420,22,434,False
17,268,406,261,369,True
19,401,394,447,398,False
20,560,364,576,342,True
22,197,377,216,356,True
23,262,326,306,298,True
26,458,287,435,292,True
27,414,268,396,258,True
29,370,252,342,231,True
30,37,233,66,230,True
1,262,194,322,143,True
2,3,67,3,40,True
3,2,118,10,84,True
4,634,159,621,137,True
5,582,4,560,36,True
6,629,168,534,138,True
7,57,432,125,420,True
8,35,341,25,299,True
9,513,472,498,446,True
12,291,445,282,406,True
13,181,424,163,339,True
16,23,420,14,428,False
17,268,406,261,369,True
19,401,394,447,399,False
20,560,364,576,342,True
22,197,377,223,350,True
23,262,326,314,329,True
24,14,320,36,343,False
25,617,308,629,323,False
26,458,287,434,291,True
27,414,268,394,259,True
29,370,252,342,231,True
30,37,233,68,230,True
1,262,194,321,141,True
2,3,67,3,40,True
3,2,118,10,84,True
4,634,159,621,137,True
5,582,4,562,36,True
6,629,168,545,147,True
7,57,432,111,395,True
8,35,341,25,299,True
9,513,472,498,446,True
11,103,455,68,474,False
12,291,445,285,391,True
13,181,424,164,338,True
16,23,420,17,420,False
17,268,406,261,369,True
19,401,394,445,398,False
20,560,364,575,344,True
22,197,377,216,353,True
23,262,326,305,321,True
24,14,320,36,342,False
25,617,308,630,321,False
26,458,287,429,284,True
27,414,268,400,256,True
29,370,252,342,231,True
30,37,233,80,226,True
1,262,194,348,181,True
2,3,67,3,40,True
3,2,118,10,82,True
4,634,159,621,137,True
5,582,4,561,35,True
6,629,168,545,145,True
7,57,432,133,391,True
8,35,341,25,299,True
9,513,472,497,445,True
11,103,455,67,474,False
12,291,445,281,405,True
13,181,424,163,337,True
16,23,420,14,425,False
17,268,406,261,369,True
19,401,394,445,396,False
20,560,364,575,343,True
22,197,377,220,349,True
23,262,326,312,307,True
24,14,320,35,341,False
25,617,308,631,330,False
26,458,287,432,291,True
27,414,268,398,255,True
29,370,252,342,231,True
30,37,233,92,219,True
1,262,194,348,181,True
2,3,67,3,40,True
3,2,118,10,82,True
4,634,159,621,137,True
5,582,4,597,50,False
6,629,168,545,145,True
7,57,432,133,391,True
8,35,341,25,299,True
9,513,472,497,445,True
11,103,455,67,474,False
12,291,445,281,405,True
13,181,424,163,337,True
16,23,420,14,425,False
17,268,406,261,369,True
19,401,394,445,396,False
20,560,364,575,343,True
22,197,377,220,349,True
23,262,326,312,307,True
24,14,320,35,341,False
25,617,308,631,330,False
26,458,287,438,307,False
27,414,268,398,255,True
29,370,252,342,231,True
30,37,233,92,219,True
1,262,194,348,181,True
2,3,67,3,40,True
3,2,118,10,82,True
4,634,159,621,137,True
5,582,4,596,47,False
6,629,168,545,145,True
7,57,432,133,391,True
8,35,341,25,299,True
9,513,472,497,445,True
11,103,455,67,474,False
12,291,445,281,405,True
13,181,424,163,337,True
16,23,420,14,425,False
17,268,406,261,369,True
19,401,394,445,396,False
20,560,364,575,343,True
22,197,377,220,349,True
23,262,326,312,307,True
24,14,320,35,341,False
25,617,308,631,330,False
26,458,287,437,308,False
27,414,268,398,255,True
29,370,252,342,231,True
30,37,233,92,219,True
1,262,194,348,181,True
2,3,67,3,40,True
3,2,118,10,82,True
4,634,159,621,137,True
5,582,4,569,37,True
6,629,168,545,145,True
7,57,432,133,391,True
8,35,341,25,299,True
9,513,472,497,445,True
11,103,455,67,474,False
12,291,445,281,405,True
13,181,424,163,337,True
16,23,420,14,425,False
17,268,406,261,369,True
19,401,394,445,396,False
20,560,364,575,343,True
22,197,377,220,349,True
23,262,326,312,307,True
24,14,320,35,341,False
25,617,308,631,330,False
26,458,287,438,309,False
27,414,268,398,255,True
29,370,252,342,231,True
30,37,233,92,219,True
1,262,194,348,181,True
2,3,67,3,40,True
3,2,118,10,82,True
4,634,159,621,137,True
5,582,4,567,37,True
6,629,168,545,145,True
7,57,432,133,391,True
8,35,341,25,299,True
9,513,472,497,445,True
11,103,455,67,474,False
12,291,445,281,405,True
13,181,424,163,337,True
16,23,420,14,425,False
17,268,406,261,369,True
19,401,394,445,396,False
20,560,364,575,343,True
22,197,377,220,349,True
23,262,326,307,299,True
24,14,320,35,341,False
25,617,308,631,330,False
26,458,287,437,308,False
27,414,268,398,255,True
29,370,252,342,231,True
